"Variable","Definition","Values","Protocol","table"
"latitude","Latitude of the landscape centerpoint","","","household_permcrop"
"longitude","Longitude of the landscape centerpoint","","","household_permcrop"
"ag_date_of_interview","Date of interview","","Agriculture Management Intensity Survey","household_permcrop"
"crop_name","Crop Name","{300: 'Green Tomato', 11: 'Maize', 12: 'Paddy', 13: 'Sorghum', 14: 'Bulrush Millet', 15: 'Finger Millet', '71b': 'Banana Beer', 17: 'Barley', 18: 'Black Pepper', 19: 'Seaweed', 302: 'Bamboo', 22: 'Sweet Potatoes', 23: 'Irish Potatoes', 24: 'Yams', 25: 'Cocoyams', 26: 'Onions', 27: 'Ginger', 31: 'Beans', 32: 'Cowpeas', 33: 'Green Gram', 34: 'Pigeon Pea', 35: 'Chickpeas', 36: 'Bambara Nuts', 37: 'Field Peas', 38: 'Malay Apple', 39: 'Star Fruit', 41: 'Sunflower', 42: 'Sesame/Simsim', 43: 'Groundnut', 44: 'Palm Oil', 45: 'Coconut', 46: 'Cashew Nut', 303: 'Firewood/Fodder', 48: 'Castor Seed', 305: 'Medicinal Plant', 306: 'Fence Tree', 51: 'Tobacco', 52: 'Pyrethrum', 53: 'Sisal', 54: 'Coffee', 55: 'Tea', 56: 'Cocoa', 57: 'Rubber', 58: 'Wattle', 59: 'Kapok', 60: 'Sugar Cane', 61: 'Cardamom ', '71c': 'Banana Sweet', 63: 'Tamarind', 64: 'Cinnamon', 65: 'Nutmeg', 66: 'Clove', 67: 'Bread Fruit', 68: 'Pomelo', 69: 'Jack Fruit', 70: 'Passion Fruit', 72: 'Avocado', 73: 'Mango', 74: 'Papaw', 75: 'Pineapple', 76: 'Orange', 77: 'Grapefruit', 78: 'Grapes', 79: 'Mandarin', 80: 'Guava', 81: 'Blood Fruit', 82: 'Apples', 851: 'Lime', 852: 'Lemon', 301: 'Monkeybread/Baobab', 86: 'Cabbage', 87: 'Tomatoes', 88: 'Spinach', 89: 'Carrot', 90: 'Chilies', 91: 'Amaranths', 92: 'Pumpkins', 93: 'Cucumber', 94: 'Egg Plant', 95: 'Water Mellon', 96: 'Cauliflower', 97: 'Durian', 98: 'Bilimbi', 99: 'Rambutan', 100: 'Okra', 101: 'Kiwi', 62: 'Jute', 21: 'Cassava', 47: 'Soyabeans', '71a': 'Banana Food', 304: 'Timber', 200: 'Custard Apple', 201: 'God Fruit', 202: 'Mitobo', 203: 'Plum', 204: 'Peaches', 205: 'Pomegranate', 210: 'Date', 211: 'Tungamaa', 50: 'Cotton', 16: 'Wheat', 'None': 'None', 83: 'Pears', 84: 'Peaches'}","Agriculture Management Intensity Survey","household_permcrop"
"ag7a_02","Did you sell any of the crop in the past year?","{1: 'Yes', 2: 'No'}","Agriculture Management Intensity Survey","household_permcrop"
"ag7a_03_1","AMOUNT ","","Agriculture Management Intensity Survey","household_permcrop"
"ag7a_03_2","UNIT","{1: 'Kg', 2: 'Liter', 3: 'Milliliter'}","Agriculture Management Intensity Survey","household_permcrop"
"ag7a_04","What was the total value of the crop sold?","","Agriculture Management Intensity Survey","household_permcrop"
"id","Unique Id for the record",NA,"","household_possession"
"parent_id","ID of the parent table (household)",NA,"","household_possession"
"country","Country",NA,"","household_possession"
"landscape_no","Landscape Number",NA,"","household_possession"
"hh_refno","Household Reference Number",NA,"","household_possession"
"round","The round of data collection",NA,"","household_possession"
"latitude","Latitude of the landscape centerpoint",NA,"","household_possession"
"longitude","Longitude of the landscape centerpoint",NA,"","household_possession"
"item","Possession",NA,"Household Survey","household_possession"
"itemcode","Code for Possession",NA,"Household Survey","household_possession"
"count","count of possession owned",NA,"Household Survey","household_possession"
"id","Unique Id for the record","","","household_priceinfo"
"parent_id","ID of the parent table (household)","","","household_priceinfo"
"country","Country","","","household_priceinfo"
"landscape_no","Landscape Number","","","household_priceinfo"
"hh_refno","Household Reference Number","","","household_priceinfo"
"round","The round of data collection","","","household_priceinfo"
"latitude","Latitude of the landscape centerpoint","","","household_priceinfo"
"longitude","Longitude of the landscape centerpoint","","","household_priceinfo"
"ag_date_of_interview","Date of interview","","Agriculture Management Intensity Survey","household_priceinfo"
"source_name_family","Source ID Name","{1: 'Ministry Of Agriculture', 2: 'Ngo', 3: 'Cooperative', 4: 'Large Scale Farmer/Outgrowers', 5: 'Radio', '3a': ""Community Based Farmer'S Organisations (Cbos)/Farmer Based Organisations (Fbos)"", 7: 'Neighbour', 9: 'Chief Farmer', 6: 'Publication (Newspapers/Articles)', '6a': 'Market Women / Middlemen'}","Agriculture Management Intensity Survey","household_priceinfo"
"ag12b_06","other, please specify","","Agriculture Management Intensity Survey","household_priceinfo"
"ag12b_08","Did you pay anything in order to receive advice this advice?","{1: 'Yes', 2: 'No'}","Agriculture Management Intensity Survey","household_priceinfo"
"ag12b_09","How much did you pay for the advice?","","Agriculture Management Intensity Survey","household_priceinfo"
"id","Unique Id for the record","","","household_resource"
"parent_id","ID of the parent table (household)","","","household_resource"
"country","Country","","","household_resource"
"landscape_no","Landscape Number","","","household_resource"
"hh_refno","Household Reference Number","","","household_resource"
"round","The round of data collection","","","household_resource"
"latitude","Latitude of the landscape centerpoint","","","household_resource"
"longitude","Longitude of the landscape centerpoint","","","household_resource"
"resource","Natural Resource Name","","","household_resource"
"hh_hv2_10","Does your household use this resource from nearby fallow lands, forest, woodland, shrubland, rivers, creeks, or other area?","{1: 'Yes', 2: 'No'}","Household Survey","household_resource"
"hh_hv2_11","During which season do you depend more on the resource?","{1: 'Wet Season', 2: 'Dry Season'}","Household Survey","household_resource"
"hh_hv2_12","How often do you collect the resource?","{1: 'Weekly', 2: 'Monthly', 3: 'Seasonally', 4: 'Annually'}","Household Survey","household_resource"
"hh_hv2_13","If you could no longer collect the resource would you be willing to purchase it at the market?","{1: 'Yes', 2: 'No'}","Household Survey","household_resource"
"hh_hv2_14","How much would you be willing to spend on the resource?","","Household Survey","household_resource"
"hh_hv2_15","How has the availability of the resource changed over the past 5 years?","{1: 'Declined', 2: 'About The Same', 3: 'Increased'}","Household Survey","household_resource"
"id","Unique Id for the record","","","household_water"
"parent_id","ID of the parent table (household)","","","household_water"
"country","Country","","","household_water"
"landscape_no","Landscape Number","","","household_water"
"hh_refno","Household Reference Number","","","household_water"
"round","The round of data collection","","","household_water"
"latitude","Latitude of the landscape centerpoint","","","household_water"
"longitude","Longitude of the landscape centerpoint","","","household_water"
"source","Water Source","","","household_water"
"hh_j22","What type of container is used to collect water the source?","{1: 'Overhead Tank', 2: 'Underground Tank', 3: 'Drums/Tanks (Metal Or Plastic)', 4: 'Buckets/Jerry Can', '4a': 'Pot'}","Household Survey","household_water"
"hh_j23_1","What is the average number of containers fetched from the source?","","Household Survey","household_water"
"hh_j23_2","at what Frequency?","{1: 'Day', 2: 'Week', 3: 'Month'}","Household Survey","household_water"
"hh_j24","What is the average price for a 20 liter jerry can from the source?","","Household Survey","household_water"
"id","Unique Id for the record","","","rra"
"country","Country","{'TZA': 'Tanzania', 'GHA': 'Ghana', 'KEN': 'Kenya', 'UGA': 'Uganda', 'RWA': 'Rwanda'}","","rra"
"rra_no","Rapid Roadside Assessment Number","","Rapid Roadside Assessments","rra"
"rra_date","Date","","Rapid Roadside Assessments","rra"
"rra_avg_height_upper_canopy","Average height of upper canopy","{1: 'Less than 1m', 2: '1-2m', 3: '2-5m', 4: '5-20m', 5: 'More than 20m'}","Rapid Roadside Assessments","rra"
"rra_canopy1","Percentage contribution of height class to total projected canopy cover (Less than 1m)","","Rapid Roadside Assessments","rra"
"rra_canopy2","Percentage contribution of height class to total projected canopy cover (1-2m)","","Rapid Roadside Assessments","rra"
"rra_canopy3","Percentage contribution of height class to total projected canopy cover (2-5m)","","Rapid Roadside Assessments","rra"
"rra_canopy4","Percentage contribution of height class to total projected canopy cover (5-20m)","","Rapid Roadside Assessments","rra"
"rra_canopy5","Percentage contribution of height class to total projected canopy cover (>20m)","","Rapid Roadside Assessments","rra"
"gps_start","GPS start time","","Rapid Roadside Assessments","rra"
"gps_end","GPS end time","","Rapid Roadside Assessments","rra"
"latitude","Latitude","","Rapid Roadside Assessments","rra"
"longitude","Longitude","","Rapid Roadside Assessments","rra"
"gps_accuracy","Accuracy of GPS measurement (m)","","Rapid Roadside Assessments","rra"
"rra_gps_measurement_counts","Number of GPS measurement counts","","Rapid Roadside Assessments","rra"
"rra_mark1","Distance from marker (km)","","Rapid Roadside Assessments","rra"
"rra_mark2","Name of the marker (eg town or road junction) to which the distance measurement above relates","","Rapid Roadside Assessments","rra"
"rra_mark3","Next closest town on your route","","Rapid Roadside Assessments","rra"
"rra_treeshrub_projected_cover","Tree / shrub total projected canopy cover","{1: 'Less than 10%', 2: '10-39%', 3: '40-59%', 4: 'More than 60%'}","Rapid Roadside Assessments","rra"
"rra_use_protected","Observed Land Use","{1: 'Protected', 2: 'Livestock grazing', 3: 'Wood harvesting', 4: 'Short duration cropping', 5: 'Tree crops', 6: 'Habitation / business'}","Rapid Roadside Assessments","rra"
"rra_use_livestock","Observed Land Use","{1: 'Protected', 2: 'Livestock grazing', 3: 'Wood harvesting', 4: 'Short duration cropping', 5: 'Tree crops', 6: 'Habitation / business'}","Rapid Roadside Assessments","rra"
"rra_use_wood","Observed Land Use","{1: 'Protected', 2: 'Livestock grazing', 3: 'Wood harvesting', 4: 'Short duration cropping', 5: 'Tree crops', 6: 'Habitation / business'}","Rapid Roadside Assessments","rra"
"rra_use_short_crop","Observed Land Use","{1: 'Protected', 2: 'Livestock grazing', 3: 'Wood harvesting', 4: 'Short duration cropping', 5: 'Tree crops', 6: 'Habitation / business'}","Rapid Roadside Assessments","rra"
"rra_use_tree_crops","Observed Land Use","{1: 'Protected', 2: 'Livestock grazing', 3: 'Wood harvesting', 4: 'Short duration cropping', 5: 'Tree crops', 6: 'Habitation / business'}","Rapid Roadside Assessments","rra"
"rra_use_hab_biz","Observed Land Use","{1: 'Protected', 2: 'Livestock grazing', 3: 'Wood harvesting', 4: 'Short duration cropping', 5: 'Tree crops', 6: 'Habitation / business'}","Rapid Roadside Assessments","rra"
"id","Unique Id for the record","","","rra_tree"
"parent_id","ID of the parent table (rra)","","","rra_tree"
"country","Country","","","rra_tree"
"rra_no","Rapid Roadside Assessment Number","","","rra_tree"
"latitude","Latitude of the RRA","","","rra_tree"
"longitude","Longitude of the RRA","","","rra_tree"
"rra_date","Date","","Rapid Roadside Assessments","rra_tree"
"rra_plant_type","Is this a tree or a crop?","{1: 'Tree', 2: 'Herbaceous and Crop'}","Rapid Roadside Assessments","rra_tree"
"common","Common Name","","Rapid Roadside Assessments","rra_tree"
"genus","Genus","","Rapid Roadside Assessments","rra_tree"
"species","Species","","Rapid Roadside Assessments","rra_tree"
"subspecies","Subspecies","","Rapid Roadside Assessments","rra_tree"
"country","Country","{'TZA': 'Tanzania', 'GHA': 'Ghana', 'KEN': 'Kenya', 'UGA': 'Uganda', 'RWA': 'Rwanda'}","","water"
"landscape_no","Landscape Number","","","water"
"rwa_sample_no","Water Sample no","","Water Availability and Quality","water"
"rwa_date","Date of Water Sampling in Field","","Water Availability and Quality","water"
"latitude","Latitude - Enter the GPS location","","Water Availability and Quality","water"
"longitude","Longitude - Enter the GPS location","","Water Availability and Quality","water"
"gps_accuracy","Accuracy","","Water Availability and Quality","water"
"rwa_water_depth_marker","Water Depth Against Marker","","Water Availability and Quality","water"
"rwa_b_14_1","Open - Water Surface Cover %","{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}","Water Availability and Quality","water"
"rwa_b_14_2","Alagal Scum - Water Surface Cover %","{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}","Water Availability and Quality","water"
"rwa_b_14_3","Water Plants - Water Surface Cover %","{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}","Water Availability and Quality","water"
"rwa_b_14_4","Alien Weed - Water Surface Cover %","{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}","Water Availability and Quality","water"
"rwa_b_14_5","Floating Rubbish - Water Surface Cover %","{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}","Water Availability and Quality","water"
"rwa_b_14_6","Foam - Water Surface Cover %","{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}","Water Availability and Quality","water"
"rwa_b_14_7","Oily Sheen","{0: 0, 1: 1, 2: 2, 3: 3, 4: 4, 5: 5, 6: 6, 7: 7, 8: 8, 9: 9, 10: 10}","Water Availability and Quality","water"
"rwa_dp_color_type","Color (Type)","{'green': 'Green', 'clear': 'Clear', 'milky': 'Milky', 'black': 'Black', 'muddy': 'Muddy', 'tea': 'Tea'}","Water Availability and Quality","water"
"rwa_dp_color_intensity","Color (Intensity)","{'just_detectable': 'Just Detectable', 'none': 'None', 'drinkable': 'Noticeable But Drinkable', 'not_for_drinking': 'Not Suitable For Drinking'}","Water Availability and Quality","water"
"rwa_dp_smell_desc","Smell (Description)","{'sewage': 'Sewage', 'peaty_earthy': 'Peaty / Earthy', 'chemical': 'Chemical', 'clean_none': 'Clean / None', 'rotten_dead': 'Rotten / Dead Fish'}","Water Availability and Quality","water"
"rwa_dp_smell_intensity","Smell  (Intensity)","{'none': 'None', 'suitable': 'Not Suitable For Drinking', 'noticeable': 'Noticeable But Not Offensive'}","Water Availability and Quality","water"
"rwa_dp_taste","Taste (Optional)","{'not_tasted': 'Not Tasted', 'salty_brack': 'Salty / Brack', 'soapy': 'Soapy', 'rotten': 'Rotten', 'muddy': 'Muddy', 'clean': 'Clean', 'chemical': 'Chemical'}","Water Availability and Quality","water"
"rwa_dp_taste_intensity","Taste (Intensity)","{'pleasant': 'Pleasant To Drink', 'offensive': 'Offensive / Unsuitable To Drink', 'clean': 'Clean', 'slight': 'Slight'}","Water Availability and Quality","water"
"rwa_dp_obs_use","Observed Use (Tick One Or More)","{'irrigation': 'Irrigation', 'mining': 'Mining / Industrial', 'drinking': 'Drinking', 'bathing': 'Bathing', 'livestock': 'Livestock Watering', 'washing': 'Washing Clothes'}","Water Availability and Quality","water"
"rwa_dp_obs_use_drinking","Observed Use (Tick One Or More)","{'irrigation': 'Irrigation', 'mining': 'Mining / Industrial', 'drinking': 'Drinking', 'bathing': 'Bathing', 'livestock': 'Livestock Watering', 'washing': 'Washing Clothes'}","Water Availability and Quality","water"
"rwa_dp_obs_use_bathing","Observed Use (Tick One Or More)","{'irrigation': 'Irrigation', 'mining': 'Mining / Industrial', 'drinking': 'Drinking', 'bathing': 'Bathing', 'livestock': 'Livestock Watering', 'washing': 'Washing Clothes'}","Water Availability and Quality","water"
"rwa_dp_obs_use_livestock","Observed Use (Tick One Or More)","{'irrigation': 'Irrigation', 'mining': 'Mining / Industrial', 'drinking': 'Drinking', 'bathing': 'Bathing', 'livestock': 'Livestock Watering', 'washing': 'Washing Clothes'}","Water Availability and Quality","water"
"rwa_dp_obs_use_washing","Observed Use (Tick One Or More)","{'irrigation': 'Irrigation', 'mining': 'Mining / Industrial', 'drinking': 'Drinking', 'bathing': 'Bathing', 'livestock': 'Livestock Watering', 'washing': 'Washing Clothes'}","Water Availability and Quality","water"
"rwa_dp_obs_use_irrigation","Observed Use (Tick One Or More)","{'irrigation': 'Irrigation', 'mining': 'Mining / Industrial', 'drinking': 'Drinking', 'bathing': 'Bathing', 'livestock': 'Livestock Watering', 'washing': 'Washing Clothes'}","Water Availability and Quality","water"
"rwa_dp_obs_use_mining","Observed Use (Tick One Or More)","{'irrigation': 'Irrigation', 'mining': 'Mining / Industrial', 'drinking': 'Drinking', 'bathing': 'Bathing', 'livestock': 'Livestock Watering', 'washing': 'Washing Clothes'}","Water Availability and Quality","water"
"water_sample_analysis_date","Date of water sample analysis","","Water Availability and Quality","water"
"water_cl1_1","EC Calibration","{0: 'No', 1: 'Yes'}","Water Availability and Quality","water"
"water_cl1_2","PO4 Blank","{0: 'No', 1: 'Yes'}","Water Availability and Quality","water"
"water_cl2_0","pH 4 Calibration","{0: 'No', 1: 'Yes'}","Water Availability and Quality","water"
"water_cl2_1","pH 7 Calibration","{0: 'No', 1: 'Yes'}","Water Availability and Quality","water"
"water_cl2_no_1","NO3 High Calibration","{0: 'No', 1: 'Yes'}","Water Availability and Quality","water"
"water_cl2_no_2","NO3 Low Calibration","{0: 'No', 1: 'Yes'}","Water Availability and Quality","water"
"water_sample_notes","Notes about the current sample","","Water Availability and Quality","water"
"water_temp","Recorded Water Temperature(Degrees Celsius) - Water Sample Data","","Water Availability and Quality","water"
"water_smp_ph","pH - Water Sample Data","","Water Availability and Quality","water"
"water_smp_cdty","Conductivity (mS/m) - Water Sample Data","","Water Availability and Quality","water"
"water_smp_no3","NO3 (mg/l) - Water Sample Data","","Water Availability and Quality","water"
"water_smp_po4","PO4 (mg/l) - Water Sample Data","","Water Availability and Quality","water"
"water_ws1_1","Ecoli - Water Sample Data","{'10ml': '10ml', '50ml': '56ml', '30ml': '30ml', '1ml': '1ml', '3ml': '3ml'}","Water Availability and Quality","water"
"water_ws1_1_10ml","Ecoli - Water Sample Data","{'10ml': '10ml', '50ml': '56ml', '30ml': '30ml', '1ml': '1ml', '3ml': '3ml'}","Water Availability and Quality","water"
"water_ws1_1_30ml","Ecoli - Water Sample Data","{'10ml': '10ml', '50ml': '56ml', '30ml': '30ml', '1ml': '1ml', '3ml': '3ml'}","Water Availability and Quality","water"
"water_ws1_1_50ml","Ecoli - Water Sample Data","{'10ml': '10ml', '50ml': '56ml', '30ml': '30ml', '1ml': '1ml', '3ml': '3ml'}","Water Availability and Quality","water"
"water_ws1_1_3ml","Ecoli - Water Sample Data","{'10ml': '10ml', '50ml': '56ml', '30ml': '30ml', '1ml': '1ml', '3ml': '3ml'}","Water Availability and Quality","water"
"water_ws1_1_1ml","Ecoli - Water Sample Data","{'10ml': '10ml', '50ml': '56ml', '30ml': '30ml', '1ml': '1ml', '3ml': '3ml'}","Water Availability and Quality","water"
"water_ws1_mpn","MPN Per 100 ml - Water Sample Data","","Water Availability and Quality","water"
"time","Date and Time of Weather Observation","","Weather Stations","weatherstation_data"
"country","Country","{'TZA': 'Tanzania', 'GHA': 'Ghana', 'KEN': 'Kenya', 'UGA': 'Uganda', 'RWA': 'Rwanda'}","Weather Stations","weatherstation_data"
"name","Weather Station Name","","Weather Stations","weatherstation_data"
"latitude","Latitude","","Weather Stations","weatherstation_data"
"longitude","Longitude","","Weather Stations","weatherstation_data"
"temp_c","Temperature (degrees centigrade)","","Weather Stations","weatherstation_data"
"rh_pct","Relative humidity (%)","","Weather Stations","weatherstation_data"
"pressure_mbar","Pressure (mbar)","","Weather Stations","weatherstation_data"
"solar_radiation_wm2","Solar radiation (w/m2)","","Weather Stations","weatherstation_data"
"wind_speed_ms","Wind speed (m/s)","","Weather Stations","weatherstation_data"
"gust_speed_ms","Gust speed (m/s)","","Weather Stations","weatherstation_data"
"rain_mm","Precipitation (mm)","","Weather Stations","weatherstation_data"
"batt_v","Battery (V)","","Weather Stations","weatherstation_data"
